"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"114",,,,,,,,0,1,"Not a genus.",0
"1272",,,,,,,,0,1,"Not a genus.",0
"1310",,,,,,,,0,1,"Not a genus.",0
"13485",,,,,,,,0,1,"Not a genus.",0
"1560",,,,,,,,0,1,"Not a genus.",0
"160",,,,,,,,0,1,"Not a genus.",0
"1627",,,,,,,,0,1,"Not a genus.",0
"165",,,,,,,,0,1,"Not a genus.",0
"1671",,,,,,,,0,1,"Not a genus.",0
"172",,,,,,,,0,1,"Not a genus.",0
"17617",,,,,,,,0,1,"Not a genus.",0
"239",,,,,,,,0,1,"Not a genus.",0
"2559",,,,,,,,0,1,"Not a genus.",0
"340",,,,,,,,0,1,"Not a genus.",0
"4",,,,,,,,0,1,"Not a genus.",0
"4/14/2008",,,,,,,,0,1,"Not a genus.",0
"41",,,,,,,,0,1,"Not a genus.",0
"5216",,,,,,,,0,1,"Not a genus.",0
"5652",,,,,,,,0,1,"Not a genus.",0
"6/30/2010",,,,,,,,0,1,"Not a genus.",0
"6+",,,,,,,,0,1,"Not a genus.",0
"8678",,,,,,,,0,1,"Not a genus.",0
"9647",,,,,,,,0,1,"Not a genus.",0
"98",,,,,,,,0,1,"Not a genus.",0
"A gray pigeon unnamed as yet",,"Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",0,1,"Not a genus.",0
"A.",,,,,,,,0,1,"Not a genus.",0
"A[illeg]stur",,,,,,,,0,1,"Not a genus.",0
"Aaptus",,,,,,,,0,1,"Not a genus.",0
"Abalistes","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abastor","Farancia","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Abavus",,,,"Aves","Chordata","Animalia",,0,0,,1
"Abbotornis",,,,,,,,0,1,"Not a genus.",0
"Abbottina","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abbottornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abderites","Abderites","Caenolestidae","Paucituberculata","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Abdimia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abeillea","Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Abeillia","Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Abeomelomys","Abeomelomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,0
"Abeona","Micrometrus","Embiotocidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",0,1,"Genus is a synonym.",0
"Abiadisaurus",,,,"Amphibia","Chordata","Animalia",,0,0,,1
"Abida",,"CHONDRINIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Ablabes",,"Colubridae","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Ablabophis",,"Colubridae","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Ablabys","Ablabys","Scorpaenidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Ablennes","Ablennes","Belonidae","Beloniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Ablepharis",,"Scincidae","Squamata","Reptilia","Chordata","Animalia",,0,1,"Genus split.",0
"Ablepharus","Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Aboma","Aboma","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abramis","Abramis","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Abramis x Leuciscus",,"Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia",,0,0,"Genus is a hybrid.",1
"Abramites","Abramites","Anostomidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"ABROCOMA","Abrocoma","Hystricognathi","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Abronia","Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Abrornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Abroscopus","Abroscopus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"ABROTHRIX","Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",1,1,,0
"Absarokius","Absarokius","Omomyidae","Primates","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Abudefduf","Abudefduf","Pomacentridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Aburria","Aburria","Cracidae","Craciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Abyla",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Abythites","Cataetyx","Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"ACACANDORUS (SP?)",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acaenasuchus","Acaenasuchus","Stagonolepididae","Pseudosuchia","Reptilia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acallosuchus","Acallosuchus",,,"Reptilia","Chordata","Animalia","Paleobiology Database",1,0,,1
"Acalyptophis","Acalyptophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acamptogorgia",,,"GORGONACEA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Acanthagenys","Acanthagenys","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthaluteres","Acanthaluteres","Monacanthidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthaphritis","Acanthaphritis","Percophidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acantharchus","Acantharchus","Centrarchidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthasaura","Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Acanthascus",,"ROSSELLIDAE",,"HEXACTINELLIDA","PORIFERA","Animalia",,0,0,,1
"Acanthaster","Acanthaster","Acanthasteridae","Valvatida","Asteroidea","Echinodermata","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,0
"Acanthella",,,,"HYDROZOA","COELENTERATA","Animalia",,0,0,,1
"Acanthemblemaria","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthephyra",,"?Acanthephyridae","MACRURA (CARIDEA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Acanthias","Squalus","Squalidae","Squaliformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Acanthicus","Acanthicus","Loricariidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthidops","Acanthidops","Emberizidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthidositta",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acanthinula",,"VALLONIIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Acanthis","Carduelis","Fringillidae","Passeriformes","Aves","Chordata","Animalia","Wikipedia",0,1,"Genus is a synonym.",0
"Acanthis X Pyrrhula",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Acanthis X Serinus",,,,"Aves","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Acanthisitta","Acanthisitta","Acanthisittidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthistius","Acanthistius","Serranidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthiulus",,,,"MYRIAPODA","ARTHROPODA","Animalia",,0,0,,1
"Acanthiza","Acanthiza","Pardalotidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthiza[illeg]","Acanthiza","Pardalotidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acanthobdella",,,,"HIRUDINEA","ANNELIDA","Animalia",,0,0,,1
"Acanthobrama","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthocepola","Acanthocepola","Cepolidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"ACANTHOCERCUS","Acanthocercus","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Acanthochaenus","Acanthochaenus","Stephanoberycidae","Stephanoberyciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthochaera",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acanthocharax","Acanthocharax","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"ACANTHOCHELYS","Acanthochelys","Chelidae","Testudines","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acanthochites",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Acanthochiton",,,,"AMPHINEURA","MOLLUSCA","Animalia",,0,0,,1
"Acanthochitona",,,,"AMPHINEURA","MOLLUSCA","Animalia",,0,0,,1
"Acanthochromis","Acanthochromis","Pomacentridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthoclinus","Acanthoclinus","Plesiopidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthocottus","Myoxocephalus","Cottidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Acanthocybium","Acanthocybium","Scombridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthodactylus","Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acanthodes",,"ACANTHODID","ACANTHODIIFORM",,"Chordata","Animalia",,0,0,,1
"Acanthodesmus",,,,"MYRIAPODA","ARTHROPODA","Animalia",,0,0,,1
"Acanthodoras","Acanthodoras","Doradidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthodoris",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Acanthodrilus",,"ACANTHODRILIDAE",,"OLIGOCHAETA","ANNELIDA","Animalia",,0,0,,1
"Acanthogenys","Acanthagenys","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Acanthogobius","Acanthogobius","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthogorgia",,,,"ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"Acanthohamingia",,,,"ECHIUROIDEA","ANNELIDA","Animalia",,0,0,,1
"Acanthohynchus","Acanthorhynchus","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Acantholatris","Nemadactylus","Cheilodactylidae","Perciformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"Acantholumpenus","Acantholumpenus","Stichaeidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthonus","Acanthonus","Ophidiidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthopagrus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"ACANTHOPHIS","Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Acanthophrynus",,"Phrynidae","Amblypygi","Arachnida","ARTHROPODA","Animalia",,0,0,,1
"Acanthophthalmus",,"Cobitidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus split.",0
"Acanthopis","Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","The Reptile Database",0,1,"Genus misspelled.",0
"Acanthopleura",,,,"AMPHINEURA","MOLLUSCA","Animalia",,0,0,,1
"Acanthopneuste","Phylloscopus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Acanthopoma","Acanthopoma","Trichomycteridae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthopsis",,"Cobitidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus split.",0
"Acanthopterygii",,,,"Actinopterygii","Chordata","Animalia",,0,1,"Genus is a class.",0
"Acanthoptila",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acanthorhynchus","Acanthorhynchus","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthornis","Acanthornis","Pardalotidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acanthosaura","Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Acanthosaurus","Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Acanthostega","Acanthostega","Acanthostegidae","Ichthyostegalia","Amphibia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acanthostoma",,"Zatracheidae","Temnospondyli","Amphibia","Chordata","Animalia",,0,0,,1
"Acanthostomatops","Acanthostomatops","Zatracheidae","Temnospondyli","Amphibia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acanthostracion","Acanthostracion","Ostraciidae","Tetraodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthotelson",,,,"CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Acanthrurus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus misspelled.",0
"Acanthuridae",,"Acanthuridae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Acanthurini",,"Acanthuridae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a tribe.",0
"Acanthuroidei",,"Acanthuroidei","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a suborder.",0
"ACANTHURUS","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acanthus","Carduelis","Fringillidae","Passeriformes","Aves","Chordata","Animalia","Wikipedia",0,1,"Genus is a misspelled synonym.",0
"Acantophis","Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acantophthalmus","Cobitis","Cobitidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Acara","Astronotus","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Acarichthys","Acarichthys","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acarictis","Acarictis","Hyaenodontidae","Creodonta","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acaronia","Acaronia","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acasta",,,,"CRUSTACEA; ENTOMOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Acauthis","Carduelis","Fringillidae","Passeriformes","Aves","Chordata","Animalia","Wikipedia",0,1,"Genus is a misspelled synonym.",0
"Acauthopneuste",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acavus",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Accanthrorhynchus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Accentor",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Acciper","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Accipeter","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Accipiter","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Accipiter (Astur)","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus is a synonym.",0
"Accipites","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Accipitor","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Accipitridae",,"Accipitridae","Accipitriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a family.",0
"Accipter","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acciptor","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Accuputer","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Acdestis","Acdestis","Caenolestidae","Paucituberculata","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acedo","Alcedo","Alcedinidae","Coraciiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Acentrogobius","Acentrogobius","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acentrophorus","Acentrophorus","Semionotidae",,"Actinopterygii","Chordata","Animalia","Paleobiology Database",1,0,,1
"Acera",,"BULLIDAE","BULLOIDEA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Aceraspis",,,"ATELEASPID/ HEMICYCLASPID","Pteraspidomorphi","Chordata","Animalia",,0,0,,1
"Aceratherium","Aceratherium","Rhinocerotidae","Perissodactyla","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acerina","Gymnocephalus","Percidae","Perciformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Aceroc","Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"ACERODON","Acerodon","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Aceros","Aceros","Bucerotidae","Bucerotiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Acestrocephalus","Acestrocephalus","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acestrorhynchus","Acestrorhynchus","Acestrorhynchidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acestrur","Chaetocercus","Trochilidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Acestrura","Chaetocercus","Trochilidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Acestura","Chaetocercus","Trochilidae","Apodiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Acetes",,"Peneidae","MACRURA (PENAEIDEA)","CRUSTACEA","ARTHROPODA","Animalia",,0,0,,1
"Achaenogonia",,,"Marsupialia","Mammalia","Chordata","Animalia",,0,0,,1
"ACHAETA","Acheta","Gryllidae","Orthoptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",0
"Achaetops","Achaetops","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Achaeus","Achaeus","Inachidae","Decapoda","Malacostraca","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,0
"Achalinus","Achalinus","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Achanarella",,,"JAMOYTIIFORM",,,"Animalia",,0,0,,1
"Achatina",,"ACHATINIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Acheilognathus","Acheilognathus","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Acheloma","Acheloma","Eryopidae","Temnospondyli","Amphibia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Acheronodon","Acheronodon","Eucosmodontidae","Multituberculata","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"ACHETA","Acheta","Gryllidae","Orthoptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Achethornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Achetorleychus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Achilpa",,"Dasyuridae","Marsupialia","Mammalia","Chordata","Animalia",,0,0,,1
"Achiropsetta","Achiropsetta","Achiropsettidae","Pleuronectiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
