"georeferenceProtocol","standardgeoreferenceProtocol","standard","checked"
"Dipolog map (PCGS 2538), published by the Philippine Coast and Geodetic Survey, ed. 3, Mar. 1983.","not recorded",0,1
"DMS-1",,0,1
"DMS-2",,0,1
"EDB",,0,1
"EDB-M1",,0,1
"EDG-M2",,0,1
"Energy, Mine and Natural Resources Canada 1:50,000","not recorded",0,1
"Energy, Mines and Resources Canada, Series A751, Westport, 31C09, 1:50,000, Edition 6, 1994","not recorded",0,1
"eoreferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"estimation",,0,1
"extent .25 mi, WGS84, Google Maos","not recorded",0,1
"extent .25 mi, WGS84, Google Maps","not recorded",0,1
"field notes","not recorded",0,1
"FMNH catalog","not recorded",0,1
"from SpecLocality","not recorded",0,1
"G!",,0,1
"G. H. Swynnerton, F.Z.S., A Check List of the Land Mammals of the Tanganyika Territory and the Zanzibar Protectorate, Journal of the East Africa Natural History Society, 1950. Vol. 20, No. 6 & 7 (90).","not recorded",0,1
"G1",,0,1
"G2",,0,1
"Garmin","not recorded",0,1
"gazetteer","not recorded",0,1
"Geographical Survey Institute of Japan (GSIJ) 1:25,000 Topographic Maps Web Browsing System, 2000 (http://mapbrowse.gsi.go.jp/mapsearch.html)","not recorded",0,1
"GEOLocate","not recorded",0,1
"Geological Survey of Canada : Mineral Map of British Columbia. 1951. 1:1,267,200","not recorded",0,1
"GeoNet Name Server gazetteer","not recorded",0,1
"Georeeferencing Quick Reference Guide Version 2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferecning Quick Reference Guide Version 2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georefereincing Quick Reference Guide Version 2012-10-08.","VertNet Georeferencing Guidelines",0,1
"Georeference Quick 
Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeference Quick Reference Guide Verion 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeference Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeference Quick Reference Guide Version 2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeference Quick Reference Guide Version 2012-10-12","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeference Quick Reference Guide Version2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferenced Georeferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing  Quick Reference Guide Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Guidelines Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Guide 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Guide Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Guide Version 2012-10-17","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Guide Version 2012-11-13","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Referance Guide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version 12-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version 2012.10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide Version 2012-08-10","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08, Historical map of Stockton (1897)","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08, http://www.geographic.org/geographic_names/name.php?uni=-3321065&fid=4133&c=malaysia","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08.","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08.`","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08.-80.2114296","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08Georeferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-08s","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-10-1008","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide Version 2012-10-12","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version 2012-11-25","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2012-11-26","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version 2014-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide Version:  2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version: 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide Version2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide Vesion 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Reference Guide
Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference Guide:  Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guide: Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guidelines 2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Reference GuidGeoreferencing Quick Reference Guide Version: 2012-10-08e Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Reference Guuide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Referencing Guide Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Referencing Guide Version 2012-10-08.","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Referencing Quick Reference Guide Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencing Quick Referenece Guide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferencing Quick Refernce Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferencing Quick Refrence Guide Version 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferencng Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferenhcing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferening Quick Reference Guide Version: 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferenncing Quick Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georeferncing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Georeferncing Quick Reference Guide Version Guide Version 2012-10-08.","VertNet Georeferencing Guidelines",0,1
"Georeferncing Quick Reference Guide Version: 2012-10-08","VertNet Georeferencing Guidelines",0,1
"Georeferrencing Quick Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Georefrencer","not recorded",0,1
"Georferencing Quick reference Guide Version 2012-10-08.","Georeferencing Quick Reference Guide Version 2012-10-08",0,1
"Gepreferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"GioG","VertNet Georeferencing Guidelines",0,1
"GIS-",,0,1
"GNIS","not recorded",0,1
"GNIS database","not recorded",0,1
"GNIS downloaded Aug 2002","not recorded",0,1
"GNIS downloaded Feb 2002","not recorded",0,1
"GNIS gazetteer","not recorded",0,1
"GNIS lookup Feb 2006","not recorded",0,1
"Google Earch","not recorded",0,1
"Google Earth","not recorded",0,1
"Google Earth ver. 4.0.2091","not recorded",0,1
"Google Maps","not recorded",0,1
"Google Maps, WGS84","not recorded",0,1
"Google Maps, WGS84, extent .1 mi","not recorded",0,1
"Google Maps, WGS84, July 2011","not recorded",0,1
"GoogleEarth","not recorded",0,1
"Government of the United Kingdom. Turks and Caicos Islands, 1/25,000","not recorded",0,1
"GPS","not recorded",0,1
"GPS 204","not recorded",0,1
"GPS, extent .01 mi","not recorded",0,1
"GPS204, WGS84, extent .01 mi","not recorded",0,1
"GPS291, WGS84, extent .05 mi","not recorded",0,1
"GPS293, extent .05 mi, WGS84","not recorded",0,1
"Graphical Locator site, TRS to Lat/long; Willamette Meridian","not recorded",0,1
"GTOPO30; non-USGS map 1:1000000","not recorded",0,1
"GW-84",,0,1
"GWS-84",,0,1
"handheld GPS (NAD27)","not recorded",0,1
"handheld GPS (WGS84)","not recorded",0,1
"HerNet","VertNet Georeferencing Guidelines",0,1
"Herpnet","VertNet Georeferencing Guidelines",0,1
"HerpNet-","VertNet Georeferencing Guidelines",0,1
"HerpNET Georeferencing Guidelines","VertNet Georeferencing Guidelines",0,1
"HerpNet`","VertNet Georeferencing Guidelines",0,1
"HerpNetf","VertNet Georeferencing Guidelines",0,1
"HerpNetu","VertNet Georeferencing Guidelines",0,1
"HNHM database","not recorded",0,1
"http://geonames.nrcan.gc.ca/search/search_e.php","not recorded",0,1
"Instituto Geografico Nacional de Honduras. Departamento de Olancho. 1990. 1:350,000","not recorded",0,1
"Instituto Geografico Nacional; San Jose, Costa Rica; 1:200,000","not recorded",0,1
"Instituto Geografico Nacional; San Jose, Costa Rica; 1:50,000","not recorded",0,1
"Instituto Nacional de EstadÆstica GeografÆa e Informçtica (INEGI), (2002) Localidades de la Rep£blica Mexicana, 2000. Obtenido de Principales Resultados por Localidad. XII Censo de Poblaciùn y Viviend","not recorded",0,1
"Instituto Nacional de EstadÆstica GeografÆa e Informçtica, (INEGI). Map 1:250,000","not recorded",0,1
"Instituto Nacional de Estadstica Geografa e Informtica (INEGI), (2002) Localidades de la Repblica Mexicana, 2000. Obtenido de Principales Resultados por Localidad. XII Censo de Poblacin y Viviend",,0,1
"Instituto Nacional de Estadstica Geografa e Informtica, (INEGI). Map 1:250,000",,0,1
"Israel 1:250,000","not recorded",0,1
"Israel 1:50,000","not recorded",0,1
"Item Cerca de un lugar citado de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Coordenadas de Latitud y Longitud GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Entidad o área urbana de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Entidad or Área Urbana GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Entre dos lugares de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Lago, Montaña, Parque Cultural, u Otra Entidad Geográfica de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Lugar remoto de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Río, Desembocadura de Río o Cabecera de Río de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Sólo desplazamiento de protocolo GEO MACN 0.1","GEO MACN 0.1",0,1
"Item Sólo en dirección GEO MACN 0.1","GEO MACN 0.1",0,1
"L1",,0,1
"L2",,0,1
"label","not recorded",0,1
"lat/long from University of Calgary web site","not recorded",0,1
"latlong in Locality","not recorded",0,1
"M1",,0,1
"M2",,0,1
"M3",,0,1
"Malay States, Federated. Survey Dept. 1950 1:126,720","not recorded",0,1
"Malaysia. Jabatanarah Pemetaan Negara. 1970 1:190,080","not recorded",0,1
"Mammals of Nepal, R. M. Mitchell, Iowa State University, 1977","not recorded",0,1
"MaNIS","VertNet Georeferencing Guidelines",0,1
"MaNIS georeferencing","VertNet Georeferencing Guidelines",0,1
"MaNIS georeferencing guidelines","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS GeoreferenciGeoreferencing Quick Reference Guide Version 2012-10-08ng Guidelines, GBIF Best Practices","Georeferencing Quick Reference Guide",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guideline","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guidelines","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guidelines-","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS Georeferencing Guidelines (2011)","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guidelines and http://www.naturecamp.net/genDirections.html","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guidelines


MaNIS/HerpNET/ORNIS Georeferencing Guidelines","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Georeferencing Guidelinesassumed by rd 33/66","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNET/ORNIS Guidelines","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS Guidelines-GBIF Best Practices","VertNet Georeferencing Guidelines",0,1
"MaNIS/HerpNet/ORNIS/Biogeomancer Guidelines","VertNet Georeferencing Guidelines",0,1
"Manish/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","VertNet Georeferencing Guidelines",0,1
"Manish/Hornet/ORNIS Dereferencing Guidelines, GBIF Best Practices","VertNet Georeferencing Guidelines",0,1
"Manually digitized from known localities",,0,1
"Manually digitized using Geolocate",,0,1
"Map","not recorded",0,1
"Map: Royal Australian Survey Corps, Double, sheet #7488 (Edition 1) Series T601","not recorded",0,1
"MapBlast.com","not recorded",0,1
"Maptech Terrain Navigator","not recorded",0,1
"Mexican Bird Atlas, Navarro-Sigenza et al. - 2003","Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003",0,1
"Mexican Bird Atlas, Navarro-Sigⁿenza et al. - 2003","Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003",0,1
"Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003","Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003",1,1
"Ministerio de Fomento: Nicaragua 1:50,000 (1966)","not recorded",0,1
"Navarro-Sigenza, A. G., Peterson, A. T. and Gordillo-Martinez, A. (2003) Museums working together: the atlas of the birds of Mexico. Bull. Brit. Orn. Club 123A: 207225.","Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003",0,1
"Navarro-Sigüenza, A. G., Peterson, A. T. and Gordillo-Martinez, A. (2003) Museums working together: the atlas of the birds of Mexico. Bull. Brit. Orn. Club 123A: 207–225.","Mexican Bird Atlas, Navarro-Sigüenza et al. - 2003",0,1
"New Mexico RGIS","not recorded",0,1
"NIMA - GNS database","not recorded",0,1
"none",,0,1
"not recorded","not recorded",1,1
"on-line atlas","not recorded",0,1
"Ornithological Gazetteer of Ecuador, 1993, Raymond A. Paynter","not recorded",0,1
"other","not recorded",0,1
"phone app","not recorded",0,1
"Principales Resultados por Localidad, XII Censo de Poblacin y Vivienda 2000, Instituto Nacional de Estadstica Geografa e Informtica (INEGI)",,0,1
"Principales Resultados por Localidad, XII Censo de Poblaciùn y Vivienda 2000, Instituto Nacional de EstadÆstica GeografÆa e Informçtica (INEGI)","not recorded",0,1
"Repatriation of data from FishNet Collaborative Ge","FishNet Collaborative Georeferencing",0,1
"Specimen Label","specimen label",0,1
"Surveys and Mapping Division, Ministry of Lands, Housing and Urban Development, Tanzania, 1990. Moshi map (56/4).","not recorded",0,1
"Surveys and Mapping Division, Ministry of Lands, Housing and Urban Development, Tanzania, 1991. Arusha map (sheet 55/3).","not recorded",0,1
"Surveys and Mapping Division, Ministry of Lands, Housing and Urban Development, Tanzania, 1992. Seronera map (Sheet 25/4).","not recorded",0,1
"Surveys and Mapping Division, Ministry of Lands, Natural Resources and Tourism, Tanzania, 1990. Korogwe (Sheet 129/2)","not recorded",0,1
"Surveys and Mapping Division, Ministry of Lands, Natural Resources and Tourism, Tanzania, 1990. Mnyuzi (Sheet 130/1)","not recorded",0,1
"Terrain Navigator 3.02","not recorded",0,1
"Terrain Navigator 3.02 USGS 1:100,000","not recorded",0,1
"Terrain Navigator 3.02 USGS 1:24,000","not recorded",0,1
"Terrain Navigator 3.02 USGS 1:24,000; DeLorme Northern California Atlas and Gazetteer","not recorded",0,1
"Terrain Navigator 5.03","not recorded",0,1
"Terrain Navigator 5.03 USGS 1:100,000","not recorded",0,1
"Terrain Navigator 5.03 USGS 1:24,000","not recorded",0,1
"The extent is (1005.5m) Georeferencing Quick Reference Guide Version 2012-10-08","Georeferencing Quick Reference Guide",0,1
"Topo USA 4.0","not recorded",0,1
"Topo USA Pacific West v 3.0 DeLorme","not recorded",0,1
"TOPOZONE","not recorded",0,1
"Topozone 1:100,000","not recorded",0,1
"Topozone 1:25,000","not recorded",0,1
"Topozone gazetteer","not recorded",0,1
"TopoZone USGS 1:100,000","not recorded",0,1
"TopoZone USGS 1:50,000","not recorded",0,1
"Topozone.com","not recorded",0,1
"Topozone.com 1:100,000","not recorded",0,1
"Topozone.com 1:50,000; MSU Campus Map, 2000","not recorded",0,1
"TopoZone.com and GeorefCalculator","not recorded",0,1
"Topozone.com gazetteer","not recorded",0,1
"TRS Graphical Locator web site, http://www.esg.montana.edu/gl/trs-data.html","not recorded",0,1
"TRS2LL batch program ver 11/26/2001","not recorded",0,1
"Tulane GEOLocate","GeoLocate",0,1
"U.S. Board on Geographic Names, Colombia, 2003.","not recorded",0,1
"U.S. Geological Survey. State of North Carolina. 1993. 1:500,000","not recorded",0,1
"Undefined area. Georeferencing Quick Reference Guide Version 2012-10-08.","VertNet Georeferencing Guidelines",0,1
"United States Board on Geographic Names, Gazetteer 92, 1962.","not recorded",0,1
"United States CIA Map of Jamaica 1968. 1:500,000","not recorded",0,1
"unknown","not recorded",0,1
"unknown-migration","not recorded",0,1
"US Army Corps of Engineers Dominican Republic 1961: 1:250,000","not recorded",0,1
"US Topo and Historical Topographic Map Collection",,0,1
"USGS 1:24,000","not recorded",0,1
"USGS Gnis website, http://geonames.usgs.gov/pls/gnis/web_query.gnis_web_query_form","not recorded",0,1
"USGS map 1:24,000","not recorded",0,1
"UTM",,0,1
"VertNET","VertNet Georeferencing Guidelines",0,1
"VertNet Georeferencing Guidelines, GBIF Best Practices","VertNet Georeferencing Guidelines",0,1
"WGS",,0,1
"WGS 1984","not recorded",0,1
"WGS 84","not recorded",0,1
"WGS- 84","not recorded",0,1
"WGS 94",,0,1
"WGS_84","not recorded",0,1
"WGS84","not recorded",0,1
"WGS-84","not recorded",0,1
"WGS84 Geolocate","not recorded",0,1
"WGS84, Google Maps","not recorded",0,1
"WTS-84","not recorded",0,1
